Year,Age,Ethnic,Sex,Area,count
2018,0-4 years,European,Male,Auckland Region,25920
2018,0-4 years,European,Female,Auckland Region,24483
2018,0-4 years,European,Total people - sex,Auckland Region,50400
2018,0-4 years,Maori,Male,Auckland Region,9783
2018,0-4 years,Maori,Female,Auckland Region,9207
2018,0-4 years,Maori,Total people - sex,Auckland Region,18990
2018,0-4 years,Pacific Peoples,Male,Auckland Region,13200
2018,0-4 years,Pacific Peoples,Female,Auckland Region,12423
2018,0-4 years,Pacific Peoples,Total people - sex,Auckland Region,25620
2018,0-4 years,Asian,Male,Auckland Region,16338
2018,0-4 years,Asian,Female,Auckland Region,15873
2018,0-4 years,Asian,Total people - sex,Auckland Region,32214
2018,0-4 years,Middle Eastern/Latin American/African,Male,Auckland Region,1569
2018,0-4 years,Middle Eastern/Latin American/African,Female,Auckland Region,1587
2018,0-4 years,Middle Eastern/Latin American/African,Total people - sex,Auckland Region,3156
2018,0-4 years,Other ethnicity,Male,Auckland Region,600
2018,0-4 years,Other ethnicity,Female,Auckland Region,573
2018,0-4 years,Other ethnicity,Total people - sex,Auckland Region,1173
2018,0-4 years,Not elsewhere included,Male,Auckland Region,0
2018,0-4 years,Not elsewhere included,Female,Auckland Region,0
2018,0-4 years,Not elsewhere included,Total people - sex,Auckland Region,0
2018,0-4 years,Total people,Male,Auckland Region,52737
2018,0-4 years,Total people,Female,Auckland Region,50031
2018,0-4 years,Total people,Total people - sex,Auckland Region,102765
2018,5-9 years,European,Male,Auckland Region,28830
2018,5-9 years,European,Female,Auckland Region,27159
2018,5-9 years,European,Total people - sex,Auckland Region,55986
2018,5-9 years,Maori,Male,Auckland Region,10617
2018,5-9 years,Maori,Female,Auckland Region,9906
2018,5-9 years,Maori,Total people - sex,Auckland Region,20520
2018,5-9 years,Pacific Peoples,Male,Auckland Region,14430
2018,5-9 years,Pacific Peoples,Female,Auckland Region,13572
2018,5-9 years,Pacific Peoples,Total people - sex,Auckland Region,28002
2018,5-9 years,Asian,Male,Auckland Region,15102
2018,5-9 years,Asian,Female,Auckland Region,14376
2018,5-9 years,Asian,Total people - sex,Auckland Region,29475
2018,5-9 years,Middle Eastern/Latin American/African,Male,Auckland Region,1440
2018,5-9 years,Middle Eastern/Latin American/African,Female,Auckland Region,1401
2018,5-9 years,Middle Eastern/Latin American/African,Total people - sex,Auckland Region,2841
2018,5-9 years,Other ethnicity,Male,Auckland Region,690
2018,5-9 years,Other ethnicity,Female,Auckland Region,663
2018,5-9 years,Other ethnicity,Total people - sex,Auckland Region,1353
2018,5-9 years,Not elsewhere included,Male,Auckland Region,0
2018,5-9 years,Not elsewhere included,Female,Auckland Region,0
2018,5-9 years,Not elsewhere included,Total people - sex,Auckland Region,0
2018,5-9 years,Total people,Male,Auckland Region,56424
2018,5-9 years,Total people,Female,Auckland Region,53004
2018,5-9 years,Total people,Total people - sex,Auckland Region,109425
2018,10-14 years,European,Male,Auckland Region,27624
2018,10-14 years,European,Female,Auckland Region,26421
2018,10-14 years,European,Total people - sex,Auckland Region,54042
2018,10-14 years,Maori,Male,Auckland Region,9267
2018,10-14 years,Maori,Female,Auckland Region,8838
2018,10-14 years,Maori,Total people - sex,Auckland Region,18108
2018,10-14 years,Pacific Peoples,Male,Auckland Region,12855
2018,10-14 years,Pacific Peoples,Female,Auckland Region,12411
2018,10-14 years,Pacific Peoples,Total people - sex,Auckland Region,25263
2018,10-14 years,Asian,Male,Auckland Region,12606
2018,10-14 years,Asian,Female,Auckland Region,11817
2018,10-14 years,Asian,Total people - sex,Auckland Region,24423
2018,10-14 years,Middle Eastern/Latin American/African,Male,Auckland Region,1233
2018,10-14 years,Middle Eastern/Latin American/African,Female,Auckland Region,1083
2018,10-14 years,Middle Eastern/Latin American/African,Total people - sex,Auckland Region,2319
2018,10-14 years,Other ethnicity,Male,Auckland Region,642
2018,10-14 years,Other ethnicity,Female,Auckland Region,612
2018,10-14 years,Other ethnicity,Total people - sex,Auckland Region,1251
2018,10-14 years,Not elsewhere included,Male,Auckland Region,0
2018,10-14 years,Not elsewhere included,Female,Auckland Region,0
2018,10-14 years,Not elsewhere included,Total people - sex,Auckland Region,0
2018,10-14 years,Total people,Male,Auckland Region,52122
2018,10-14 years,Total people,Female,Auckland Region,49527
2018,10-14 years,Total people,Total people - sex,Auckland Region,101646
2018,15-19 years,European,Male,Auckland Region,26640
2018,15-19 years,European,Female,Auckland Region,25206
2018,15-19 years,European,Total people - sex,Auckland Region,51849
2018,15-19 years,Maori,Male,Auckland Region,8553
2018,15-19 years,Maori,Female,Auckland Region,8163
2018,15-19 years,Maori,Total people - sex,Auckland Region,16716
2018,15-19 years,Pacific Peoples,Male,Auckland Region,12390
2018,15-19 years,Pacific Peoples,Female,Auckland Region,12210
2018,15-19 years,Pacific Peoples,Total people - sex,Auckland Region,24600
2018,15-19 years,Asian,Male,Auckland Region,13800
2018,15-19 years,Asian,Female,Auckland Region,13212
2018,15-19 years,Asian,Total people - sex,Auckland Region,27015
2018,15-19 years,Middle Eastern/Latin American/African,Male,Auckland Region,1170
2018,15-19 years,Middle Eastern/Latin American/African,Female,Auckland Region,1140
2018,15-19 years,Middle Eastern/Latin American/African,Total people - sex,Auckland Region,2313
2018,15-19 years,Other ethnicity,Male,Auckland Region,534
2018,15-19 years,Other ethnicity,Female,Auckland Region,456
