Year,Age,Ethnic,Sex,Area,count
2013,15-19 years,Not elsewhere included,Total people - sex,Auckland Region,6288
2013,15-19 years,Total people,Male,Auckland Region,52101
2013,15-19 years,Total people,Female,Auckland Region,50817
2013,15-19 years,Total people,Total people - sex,Auckland Region,102918
2013,20-24 years,European,Male,Auckland Region,24531
2013,20-24 years,European,Female,Auckland Region,25932
2013,20-24 years,European,Total people - sex,Auckland Region,50463
2013,20-24 years,Maori,Male,Auckland Region,5814
2013,20-24 years,Maori,Female,Auckland Region,6762
2013,20-24 years,Maori,Total people - sex,Auckland Region,12573
2013,20-24 years,Pacific Peoples,Male,Auckland Region,8064
2013,20-24 years,Pacific Peoples,Female,Auckland Region,9144
2013,20-24 years,Pacific Peoples,Total people - sex,Auckland Region,17208
2013,20-24 years,Asian,Male,Auckland Region,15807
2013,20-24 years,Asian,Female,Auckland Region,14196
2013,20-24 years,Asian,Total people - sex,Auckland Region,30000
2013,20-24 years,Middle Eastern/Latin American/African,Male,Auckland Region,1206
2013,20-24 years,Middle Eastern/Latin American/African,Female,Auckland Region,1125
2013,20-24 years,Middle Eastern/Latin American/African,Total people - sex,Auckland Region,2334
2013,20-24 years,Other ethnicity,Male,Auckland Region,528
2013,20-24 years,Other ethnicity,Female,Auckland Region,345
2013,20-24 years,Other ethnicity,Total people - sex,Auckland Region,873
2013,20-24 years,Not elsewhere included,Male,Auckland Region,4200
2013,20-24 years,Not elsewhere included,Female,Auckland Region,3909
2013,20-24 years,Not elsewhere included,Total people - sex,Auckland Region,8109
2013,20-24 years,Total people,Male,Auckland Region,54060
2013,20-24 years,Total people,Female,Auckland Region,54159
2013,20-24 years,Total people,Total people - sex,Auckland Region,108222
2013,25-29 years,European,Male,Auckland Region,21276
2013,25-29 years,European,Female,Auckland Region,23439
2013,25-29 years,European,Total people - sex,Auckland Region,44715
2013,25-29 years,Maori,Male,Auckland Region,4128
2013,25-29 years,Maori,Female,Auckland Region,5304
2013,25-29 years,Maori,Total people - sex,Auckland Region,9435
2013,25-29 years,Pacific Peoples,Male,Auckland Region,5952
2013,25-29 years,Pacific Peoples,Female,Auckland Region,6900
2013,25-29 years,Pacific Peoples,Total people - sex,Auckland Region,12855
2013,25-29 years,Asian,Male,Auckland Region,15192
2013,25-29 years,Asian,Female,Auckland Region,16290
2013,25-29 years,Asian,Total people - sex,Auckland Region,31482
2013,25-29 years,Middle Eastern/Latin American/African,Male,Auckland Region,1257
2013,25-29 years,Middle Eastern/Latin American/African,Female,Auckland Region,1239
2013,25-29 years,Middle Eastern/Latin American/African,Total people - sex,Auckland Region,2499
2013,25-29 years,Other ethnicity,Male,Auckland Region,498
2013,25-29 years,Other ethnicity,Female,Auckland Region,330
2013,25-29 years,Other ethnicity,Total people - sex,Auckland Region,825
2013,25-29 years,Not elsewhere included,Male,Auckland Region,3798
2013,25-29 years,Not elsewhere included,Female,Auckland Region,3573
2013,25-29 years,Not elsewhere included,Total people - sex,Auckland Region,7371
2013,25-29 years,Total people,Male,Auckland Region,48048
2013,25-29 years,Total people,Female,Auckland Region,51894
2013,25-29 years,Total people,Total people - sex,Auckland Region,99939
2013,30-34 years,European,Male,Auckland Region,21864
2013,30-34 years,European,Female,Auckland Region,24288
2013,30-34 years,European,Total people - sex,Auckland Region,46152
2013,30-34 years,Maori,Male,Auckland Region,3759
2013,30-34 years,Maori,Female,Auckland Region,4728
2013,30-34 years,Maori,Total people - sex,Auckland Region,8487
2013,30-34 years,Pacific Peoples,Male,Auckland Region,5517
2013,30-34 years,Pacific Peoples,Female,Auckland Region,6375
2013,30-34 years,Pacific Peoples,Total people - sex,Auckland Region,11892
2013,30-34 years,Asian,Male,Auckland Region,14130
2013,30-34 years,Asian,Female,Auckland Region,15834
2013,30-34 years,Asian,Total people - sex,Auckland Region,29964
2013,30-34 years,Middle Eastern/Latin American/African,Male,Auckland Region,1281
2013,30-34 years,Middle Eastern/Latin American/African,Female,Auckland Region,1356
2013,30-34 years,Middle Eastern/Latin American/African,Total people - sex,Auckland Region,2640
2013,30-34 years,Other ethnicity,Male,Auckland Region,534
2013,30-34 years,Other ethnicity,Female,Auckland Region,354
2013,30-34 years,Other ethnicity,Total people - sex,Auckland Region,885
2013,30-34 years,Not elsewhere included,Male,Auckland Region,3189
2013,30-34 years,Not elsewhere included,Female,Auckland Region,3285
2013,30-34 years,Not elsewhere included,Total people - sex,Auckland Region,6471
2013,30-34 years,Total people,Male,Auckland Region,46749
2013,30-34 years,Total people,Female,Auckland Region,51786
2013,30-34 years,Total people,Total people - sex,Auckland Region,98541
2013,35-39 years,European,Male,Auckland Region,24306
2013,35-39 years,European,Female,Auckland Region,27627
2013,35-39 years,European,Total people - sex,Auckland Region,51936
2013,35-39 years,Maori,Male,Auckland Region,3960
2013,35-39 years,Maori,Female,Auckland Region,4812
2013,35-39 years,Maori,Total people - sex,Auckland Region,8775
2013,35-39 years,Pacific Peoples,Male,Auckland Region,5238
2013,35-39 years,Pacific Peoples,Female,Auckland Region,6171
2013,35-39 years,Pacific Peoples,Total people - sex,Auckland Region,11409
2013,35-39 years,Asian,Male,Auckland Region,10119
2013,35-39 years,Asian,Female,Auckland Region,12159
2013,35-39 years,Asian,Total people - sex,Auckland Region,22281
2013,35-39 years,Middle Eastern/Latin American/African,Male,Auckland Region,996
2013,35-39 years,Middle Eastern/Latin American/African,Female,Auckland Region,1071
2013,35-39 years,Middle Eastern/Latin American/African,Total people - sex,Auckland Region,2067
2013,35-39 years,Other ethnicity,Male,Auckland Region,681
2013,35-39 years,Other ethnicity,Female,Auckland Region,447
2013,35-39 years,Other ethnicity,Total people - sex,Auckland Region,1128
2013,35-39 years,Not elsewhere included,Male,Auckland Region,2904
2013,35-39 years,Not elsewhere included,Female,Auckland Region,2661
2013,35-39 years,Not elsewhere included,Total people - sex,Auckland Region,5565
2013,35-39 years,Total people,Male,Auckland Region,44874
2013,35-39 years,Total people,Female,Auckland Region,50664
2013,35-39 years,Total people,Total people - sex,Auckland Region,95538
2013,40-44 years,European,Male,Auckland Region,28620
2013,40-44 years,European,Female,Auckland Region,31644
2013,40-44 years,European,Total people - sex,Auckland Region,60264
2013,40-44 years,Maori,Male,Auckland Region,4224
2013,40-44 years,Maori,Female,Auckland Region,5067
2013,40-44 years,Maori,Total people - sex,Auckland Region,9294
2013,40-44 years,Pacific Peoples,Male,Auckland Region,5442
2013,40-44 years,Pacific Peoples,Female,Auckland Region,6162
2013,40-44 years,Pacific Peoples,Total people - sex,Auckland Region,11604
2013,40-44 years,Asian,Male,Auckland Region,9651
2013,40-44 years,Asian,Female,Auckland Region,12927
2013,40-44 years,Asian,Total people - sex,Auckland Region,22575
2013,40-44 years,Middle Eastern/Latin American/African,Male,Auckland Region,972
2013,40-44 years,Middle Eastern/Latin American/African,Female,Auckland Region,921
2013,40-44 years,Middle Eastern/Latin American/African,Total people - sex,Auckland Region,1896
2013,40-44 years,Other ethnicity,Male,Auckland Region,831
2013,40-44 years,Other ethnicity,Female,Auckland Region,519
2013,40-44 years,Other ethnicity,Total people - sex,Auckland Region,1350
2013,40-44 years,Not elsewhere included,Male,Auckland Region,3156
2013,40-44 years,Not elsewhere included,Female,Auckland Region,3006
2013,40-44 years,Not elsewhere included,Total people - sex,Auckland Region,6162
2013,40-44 years,Total people,Male,Auckland Region,49824
2013,40-44 years,Total people,Female,Auckland Region,56394
2013,40-44 years,Total people,Total people - sex,Auckland Region,106218
2013,45-49 years,European,Male,Auckland Region,28302
2013,45-49 years,European,Female,Auckland Region,30162
2013,45-49 years,European,Total people - sex,Auckland Region,58464
2013,45-49 years,Maori,Male,Auckland Region,3942
2013,45-49 years,Maori,Female,Auckland Region,4467
2013,45-49 years,Maori,Total people - sex,Auckland Region,8406
2013,45-49 years,Pacific Peoples,Male,Auckland Region,5088
2013,45-49 years,Pacific Peoples,Female,Auckland Region,5880
2013,45-49 years,Pacific Peoples,Total people - sex,Auckland Region,10968
2013,45-49 years,Asian,Male,Auckland Region,9771
2013,45-49 years,Asian,Female,Auckland Region,11874
2013,45-49 years,Asian,Total people - sex,Auckland Region,21645
2013,45-49 years,Middle Eastern/Latin American/African,Male,Auckland Region,843
2013,45-49 years,Middle Eastern/Latin American/African,Female,Auckland Region,816
2013,45-49 years,Middle Eastern/Latin American/African,Total people - sex,Auckland Region,1659
2013,45-49 years,Other ethnicity,Male,Auckland Region,777
2013,45-49 years,Other ethnicity,Female,Auckland Region,543
2013,45-49 years,Other ethnicity,Total people - sex,Auckland Region,1317
2013,45-49 years,Not elsewhere included,Male,Auckland Region,2796
2013,45-49 years,Not elsewhere included,Female,Auckland Region,2838
2013,45-49 years,Not elsewhere included,Total people - sex,Auckland Region,5631
2013,45-49 years,Total people,Male,Auckland Region,48957
2013,45-49 years,Total people,Female,Auckland Region,53427
2013,45-49 years,Total people,Total people - sex,Auckland Region,102384
2013,50-54 years,European,Male,Auckland Region,27357
2013,50-54 years,European,Female,Auckland Region,29082
2013,50-54 years,European,Total people - sex,Auckland Region,56442
2013,50-54 years,Maori,Male,Auckland Region,3426
2013,50-54 years,Maori,Female,Auckland Region,4149
2013,50-54 years,Maori,Total people - sex,Auckland Region,7572
2013,50-54 years,Pacific Peoples,Male,Auckland Region,4143
2013,50-54 years,Pacific Peoples,Female,Auckland Region,4731
2013,50-54 years,Pacific Peoples,Total people - sex,Auckland Region,8877
2013,50-54 years,Asian,Male,Auckland Region,8553
2013,50-54 years,Asian,Female,Auckland Region,10128
2013,50-54 years,Asian,Total people - sex,Auckland Region,18681
2013,50-54 years,Middle Eastern/Latin American/African,Male,Auckland Region,663
2013,50-54 years,Middle Eastern/Latin American/African,Female,Auckland Region,642
2013,50-54 years,Middle Eastern/Latin American/African,Total people - sex,Auckland Region,1305
2013,50-54 years,Other ethnicity,Male,Auckland Region,729
2013,50-54 years,Other ethnicity,Female,Auckland Region,561
2013,50-54 years,Other ethnicity,Total people - sex,Auckland Region,1290
2013,50-54 years,Not elsewhere included,Male,Auckland Region,2844
2013,50-54 years,Not elsewhere included,Female,Auckland Region,2703
2013,50-54 years,Not elsewhere included,Total people - sex,Auckland Region,5547
2013,50-54 years,Total people,Male,Auckland Region,45735
2013,50-54 years,Total people,Female,Auckland Region,49374
2013,50-54 years,Total people,Total people - sex,Auckland Region,95112
2013,55-59 years,European,Male,Auckland Region,23283
2013,55-59 years,European,Female,Auckland Region,24600
2013,55-59 years,European,Total people - sex,Auckland Region,47886
2013,55-59 years,Maori,Male,Auckland Region,2436
2013,55-59 years,Maori,Female,Auckland Region,3069
2013,55-59 years,Maori,Total people - sex,Auckland Region,5505
2013,55-59 years,Pacific Peoples,Male,Auckland Region,3225
2013,55-59 years,Pacific Peoples,Female,Auckland Region,3540
2013,55-59 years,Pacific Peoples,Total people - sex,Auckland Region,6762
2013,55-59 years,Asian,Male,Auckland Region,7044
2013,55-59 years,Asian,Female,Auckland Region,8406
2013,55-59 years,Asian,Total people - sex,Auckland Region,15450
2013,55-59 years,Middle Eastern/Latin American/African,Male,Auckland Region,477
2013,55-59 years,Middle Eastern/Latin American/African,Female,Auckland Region,453
2013,55-59 years,Middle Eastern/Latin American/African,Total people - sex,Auckland Region,933
2013,55-59 years,Other ethnicity,Male,Auckland Region,645
2013,55-59 years,Other ethnicity,Female,Auckland Region,459
2013,55-59 years,Other ethnicity,Total people - sex,Auckland Region,1101
2013,55-59 years,Not elsewhere included,Male,Auckland Region,2157
2013,55-59 years,Not elsewhere included,Female,Auckland Region,2181
2013,55-59 years,Not elsewhere included,Total people - sex,Auckland Region,4335
2013,55-59 years,Total people,Male,Auckland Region,37923
2013,55-59 years,Total people,Female,Auckland Region,41037
2013,55-59 years,Total people,Total people - sex,Auckland Region,78963
2013,60-64 years,European,Male,Auckland Region,21507
2013,60-64 years,European,Female,Auckland Region,22599
2013,60-64 years,European,Total people - sex,Auckland Region,44106
2013,60-64 years,Maori,Male,Auckland Region,1851
2013,60-64 years,Maori,Female,Auckland Region,2262
2013,60-64 years,Maori,Total people - sex,Auckland Region,4113
2013,60-64 years,Pacific Peoples,Male,Auckland Region,2604
2013,60-64 years,Pacific Peoples,Female,Auckland Region,2871
2013,60-64 years,Pacific Peoples,Total people - sex,Auckland Region,5475
2013,60-64 years,Asian,Male,Auckland Region,5310
2013,60-64 years,Asian,Female,Auckland Region,5919
2013,60-64 years,Asian,Total people - sex,Auckland Region,11226
2013,60-64 years,Middle Eastern/Latin American/African,Male,Auckland Region,312
2013,60-64 years,Middle Eastern/Latin American/African,Female,Auckland Region,258
2013,60-64 years,Middle Eastern/Latin American/African,Total people - sex,Auckland Region,570
2013,60-64 years,Other ethnicity,Male,Auckland Region,612
2013,60-64 years,Other ethnicity,Female,Auckland Region,426
2013,60-64 years,Other ethnicity,Total people - sex,Auckland Region,1038
2013,60-64 years,Not elsewhere included,Male,Auckland Region,1884
2013,60-64 years,Not elsewhere included,Female,Auckland Region,1944
2013,60-64 years,Not elsewhere included,Total people - sex,Auckland Region,3828
2013,60-64 years,Total people,Male,Auckland Region,33135
2013,60-64 years,Total people,Female,Auckland Region,35070
2013,60-64 years,Total people,Total people - sex,Auckland Region,68208
2013,65-69 years,European,Male,Auckland Region,18267
2013,65-69 years,European,Female,Auckland Region,19743
2013,65-69 years,European,Total people - sex,Auckland Region,38010
