Year,Age,Ethnic,Sex,Area,count
2006,0-4 years,European,Male,Auckland Region,24486
2006,0-4 years,European,Female,Auckland Region,23211
2006,0-4 years,European,Total people - sex,Auckland Region,47697
2006,0-4 years,Maori,Male,Auckland Region,8607
2006,0-4 years,Maori,Female,Auckland Region,8100
2006,0-4 years,Maori,Total people - sex,Auckland Region,16710
2006,0-4 years,Pacific Peoples,Male,Auckland Region,11637
2006,0-4 years,Pacific Peoples,Female,Auckland Region,11079
2006,0-4 years,Pacific Peoples,Total people - sex,Auckland Region,22716
2006,0-4 years,Asian,Male,Auckland Region,8016
2006,0-4 years,Asian,Female,Auckland Region,7467
2006,0-4 years,Asian,Total people - sex,Auckland Region,15483
2006,0-4 years,Middle Eastern/Latin American/African,Male,Auckland Region,876
2006,0-4 years,Middle Eastern/Latin American/African,Female,Auckland Region,765
2006,0-4 years,Middle Eastern/Latin American/African,Total people - sex,Auckland Region,1641
2006,0-4 years,Other ethnicity,Male,Auckland Region,3573
2006,0-4 years,Other ethnicity,Female,Auckland Region,3258
2006,0-4 years,Other ethnicity,Total people - sex,Auckland Region,6831
2006,0-4 years,Not elsewhere included,Male,Auckland Region,2304
2006,0-4 years,Not elsewhere included,Female,Auckland Region,2361
2006,0-4 years,Not elsewhere included,Total people - sex,Auckland Region,4665
2006,0-4 years,Total people,Male,Auckland Region,48300
2006,0-4 years,Total people,Female,Auckland Region,45774
2006,0-4 years,Total people,Total people - sex,Auckland Region,94077
2006,5-9 years,European,Male,Auckland Region,24162
2006,5-9 years,European,Female,Auckland Region,22872
2006,5-9 years,European,Total people - sex,Auckland Region,47034
2006,5-9 years,Maori,Male,Auckland Region,8229
2006,5-9 years,Maori,Female,Auckland Region,7827
2006,5-9 years,Maori,Total people - sex,Auckland Region,16059
2006,5-9 years,Pacific Peoples,Male,Auckland Region,11280
2006,5-9 years,Pacific Peoples,Female,Auckland Region,10941
2006,5-9 years,Pacific Peoples,Total people - sex,Auckland Region,22224
2006,5-9 years,Asian,Male,Auckland Region,8322
2006,5-9 years,Asian,Female,Auckland Region,7971
2006,5-9 years,Asian,Total people - sex,Auckland Region,16290
2006,5-9 years,Middle Eastern/Latin American/African,Male,Auckland Region,852
2006,5-9 years,Middle Eastern/Latin American/African,Female,Auckland Region,801
2006,5-9 years,Middle Eastern/Latin American/African,Total people - sex,Auckland Region,1653
2006,5-9 years,Other ethnicity,Male,Auckland Region,3435
2006,5-9 years,Other ethnicity,Female,Auckland Region,3243
2006,5-9 years,Other ethnicity,Total people - sex,Auckland Region,6678
2006,5-9 years,Not elsewhere included,Male,Auckland Region,2133
2006,5-9 years,Not elsewhere included,Female,Auckland Region,2190
2006,5-9 years,Not elsewhere included,Total people - sex,Auckland Region,4323
2006,5-9 years,Total people,Male,Auckland Region,48672
2006,5-9 years,Total people,Female,Auckland Region,46656
2006,5-9 years,Total people,Total people - sex,Auckland Region,95328
2006,10-14 years,European,Male,Auckland Region,24921
2006,10-14 years,European,Female,Auckland Region,24036
2006,10-14 years,European,Total people - sex,Auckland Region,48957
2006,10-14 years,Maori,Male,Auckland Region,7980
2006,10-14 years,Maori,Female,Auckland Region,7671
2006,10-14 years,Maori,Total people - sex,Auckland Region,15648
2006,10-14 years,Pacific Peoples,Male,Auckland Region,10707
2006,10-14 years,Pacific Peoples,Female,Auckland Region,10377
2006,10-14 years,Pacific Peoples,Total people - sex,Auckland Region,21084
2006,10-14 years,Asian,Male,Auckland Region,9663
2006,10-14 years,Asian,Female,Auckland Region,8997
2006,10-14 years,Asian,Total people - sex,Auckland Region,18660
2006,10-14 years,Middle Eastern/Latin American/African,Male,Auckland Region,813
2006,10-14 years,Middle Eastern/Latin American/African,Female,Auckland Region,768
2006,10-14 years,Middle Eastern/Latin American/African,Total people - sex,Auckland Region,1581
2006,10-14 years,Other ethnicity,Male,Auckland Region,3192
2006,10-14 years,Other ethnicity,Female,Auckland Region,2883
2006,10-14 years,Other ethnicity,Total people - sex,Auckland Region,6075
2006,10-14 years,Not elsewhere included,Male,Auckland Region,2229
2006,10-14 years,Not elsewhere included,Female,Auckland Region,2172
2006,10-14 years,Not elsewhere included,Total people - sex,Auckland Region,4401
2006,10-14 years,Total people,Male,Auckland Region,51168
2006,10-14 years,Total people,Female,Auckland Region,48540
2006,10-14 years,Total people,Total people - sex,Auckland Region,99711
2006,15-19 years,European,Male,Auckland Region,24315
2006,15-19 years,European,Female,Auckland Region,24354
2006,15-19 years,European,Total people - sex,Auckland Region,48669
2006,15-19 years,Maori,Male,Auckland Region,6933
2006,15-19 years,Maori,Female,Auckland Region,7329
2006,15-19 years,Maori,Total people - sex,Auckland Region,14262
2006,15-19 years,Pacific Peoples,Male,Auckland Region,9144
2006,15-19 years,Pacific Peoples,Female,Auckland Region,9210
2006,15-19 years,Pacific Peoples,Total people - sex,Auckland Region,18354
2006,15-19 years,Asian,Male,Auckland Region,10659
2006,15-19 years,Asian,Female,Auckland Region,10212
2006,15-19 years,Asian,Total people - sex,Auckland Region,20871
2006,15-19 years,Middle Eastern/Latin American/African,Male,Auckland Region,972
2006,15-19 years,Middle Eastern/Latin American/African,Female,Auckland Region,858
2006,15-19 years,Middle Eastern/Latin American/African,Total people - sex,Auckland Region,1830
2006,15-19 years,Other ethnicity,Male,Auckland Region,2595
2006,15-19 years,Other ethnicity,Female,Auckland Region,2085
2006,15-19 years,Other ethnicity,Total people - sex,Auckland Region,4680
2006,15-19 years,Not elsewhere included,Male,Auckland Region,2409
2006,15-19 years,Not elsewhere included,Female,Auckland Region,2352
2006,15-19 years,Not elsewhere included,Total people - sex,Auckland Region,4761
